35 37 38
23 35 38
26 25 32
36 33 38
27 30 34
31 33 36
35 29 37
26 32 43
30 27 44
10 11 22
14 15 24
18 19 21
24 26 27
6 7 23
27 26 28
11 12 30
15 16 25
19 20 31
10 22 29
24 25 26
22 11 30
9 10 29
24 15 25
21 19 31
33 23 38
17 18 32
13 14 34
5 6 33
7 8 35
24 27 34
18 21 32
14 24 34
6 23 33
23 7 35
21 31 36
29 22 37
4 17 39
3 13 40
1 5 41
20 41 1
16 4 39
12 3 40
2 9 42
8 2 42
37 28 38
22 30 44
28 26 43
27 28 44
32 21 43
36 28 43
28 37 44
35 8 42
13 34 40
17 32 39
5 33 41
30 12 40
25 16 39
31 20 41
9 29 42
29 35 42
34 30 40
32 25 39
33 31 41
28 36 38
21 36 43
37 22 44
