0 0
1 0
1 1
0 1
0.2 0
0.4 0
0.6 0
0.8 0
1 0.2
1 0.4
1 0.6
1 0.8
0.8 1
0.6 1
0.4 1
0.2 1
0 0.8
0 0.6
0 0.4
0 0.2
0.163707 0.488665
0.83535 0.4903
0.493918 0.132376
0.498365 0.827739
0.300748 0.830703
0.39616 0.670734
0.600202 0.675519
0.5 0.480385
0.830577 0.300184
0.8147 0.689149
0.169382 0.300114
0.18819 0.683641
0.315785 0.186528
0.694476 0.840999
0.685921 0.172487
0.321461 0.387381
0.668523 0.385325
0.476883 0.317411
0.14641 0.85359
0.85359 0.85359
0.14641 0.14641
0.85359 0.14641
0.310303 0.541798
0.689697 0.541798
